01:15:06.782 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9398
01:15:06.782 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9885
01:15:06.782 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9399
01:15:06.782 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9886
01:15:06.782 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9400
01:15:06.782 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9887
01:15:06.782 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9401
01:15:06.782 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9888
01:15:06.782 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9402
01:15:06.782 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9889
01:15:06.783 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9403
01:15:06.783 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9890
01:15:06.783 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9404
01:15:06.783 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9891
01:15:06.783 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9405
01:15:06.783 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9892
01:15:06.783 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9406
01:15:06.783 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9893
01:15:06.783 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9407
01:15:06.783 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9894
01:15:06.783 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9408
01:15:06.783 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9895
01:15:06.783 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9409
01:15:06.783 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9896
01:15:06.783 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9410
01:15:06.783 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9897
01:15:06.783 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9411
01:15:06.783 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9898
01:15:06.783 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9412
01:15:06.783 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9899
01:15:06.783 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9413
01:15:06.783 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9900
01:15:06.783 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9414
01:15:06.783 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9901
01:15:06.783 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9415
01:15:06.783 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9902
01:15:06.783 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9416
01:15:06.783 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9903
01:15:06.783 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9417
01:15:06.784 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9904
01:15:06.784 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9418
01:15:06.784 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9905
01:15:06.784 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9419
01:15:06.784 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9906
01:15:06.784 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9420
01:15:06.784 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9907
01:15:06.784 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9421
01:15:06.784 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9908
01:15:06.784 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9422
01:15:06.784 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9909
01:15:06.784 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9423
01:15:06.784 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9910
01:15:06.784 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9424
01:15:06.784 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9911
01:15:06.784 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9425
01:15:06.784 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9912
01:15:06.784 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9426
01:15:06.784 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9913
01:15:06.784 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9427
01:15:06.784 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9914
01:15:06.784 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9428
01:15:06.784 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9915
01:15:06.784 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9429
01:15:06.784 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9916
01:15:06.784 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9430
01:15:06.784 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9917
01:15:06.784 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9431
01:15:06.784 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9918
01:15:06.784 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9432
01:15:06.784 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9919
01:15:06.784 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9433
01:15:06.785 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9920
01:15:06.785 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9434
01:15:06.785 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9921
01:15:06.785 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9435
01:15:06.785 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9922
01:15:06.785 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9436
01:15:06.785 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9923
01:15:06.785 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9437
01:15:06.785 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9924
01:15:06.785 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9438
01:15:06.785 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9925
01:15:06.785 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9439
01:15:06.785 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9926
01:15:06.785 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9440
01:15:06.785 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9927
01:15:06.785 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9441
01:15:06.785 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9928
01:15:06.785 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9442
01:15:06.785 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9929
01:15:06.785 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9443
01:15:06.785 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9930
01:15:06.785 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9444
01:15:06.785 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9931
01:15:06.785 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9445
01:15:06.785 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9932
01:15:06.785 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9446
01:15:06.785 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9933
01:15:06.785 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9447
01:15:06.785 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9934
01:15:06.785 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9448
01:15:06.785 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9935
01:15:06.785 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9449
01:15:06.785 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9936
01:15:06.785 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9450
01:15:06.785 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9937
01:15:06.785 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9451
01:15:06.785 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9938
01:15:06.785 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9452
01:15:06.786 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9939
01:15:06.786 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9453
01:15:06.786 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9940
01:15:06.786 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9454
01:15:06.786 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9941
01:15:06.786 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9455
01:15:06.786 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9942
01:15:06.786 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9456
01:15:06.786 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9943
01:15:06.786 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9457
01:15:06.786 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9944
01:15:06.786 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9458
01:15:06.786 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9945
01:15:06.786 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9459
01:15:06.786 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9946
