01:15:06.692 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8517
01:15:06.692 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9090
01:15:06.692 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8518
01:15:06.692 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9091
01:15:06.692 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8519
01:15:06.692 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9092
01:15:06.692 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8864
01:15:06.692 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9093
01:15:06.692 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8520
01:15:06.692 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8865
01:15:06.692 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8521
01:15:06.692 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9094
01:15:06.692 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8866
01:15:06.692 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9095
01:15:06.692 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8522
01:15:06.692 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8867
01:15:06.693 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8523
01:15:06.693 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9096
01:15:06.693 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8868
01:15:06.693 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9097
01:15:06.693 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8524
01:15:06.693 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8869
01:15:06.693 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8525
01:15:06.693 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9098
01:15:06.693 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8870
