01:15:06.715 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9321
01:15:06.715 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8749
01:15:06.715 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9102
01:15:06.715 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8750
01:15:06.715 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9322
01:15:06.715 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9103
01:15:06.715 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9323
01:15:06.715 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8751
01:15:06.715 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9104
01:15:06.715 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8752
01:15:06.715 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9324
01:15:06.715 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9105
01:15:06.715 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9325
01:15:06.715 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8753
01:15:06.715 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9106
01:15:06.715 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8754
01:15:06.715 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9326
01:15:06.715 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9107
01:15:06.715 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9327
01:15:06.715 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8755
01:15:06.715 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9108
01:15:06.715 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8756
01:15:06.715 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9328
01:15:06.715 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9109
01:15:06.715 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9329
01:15:06.715 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8757
01:15:06.715 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9110
01:15:06.715 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8758
01:15:06.715 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9330
01:15:06.715 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9111
01:15:06.716 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9331
01:15:06.715 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8759
